query_id,class,latency_ns,matching_lines
781,MISS,23725,0
782,CONFLICTING_QUOTES,24226,2
783,UNICODE,25017,1
784,HIT,23825,1
785,MISS,23745,0
786,CONFLICTING_QUOTES,24206,2
787,UNICODE,24496,1
788,HIT,23795,1
789,MISS,23724,0
790,CONFLICTING_QUOTES,24205,2
791,UNICODE,24466,1
792,HIT,23804,1
793,MISS,23725,0
794,CONFLICTING_QUOTES,24226,2
795,UNICODE,24477,1
796,HIT,23815,1
797,MISS,23754,0
798,CONFLICTING_QUOTES,24215,2
799,UNICODE,24486,1
800,HIT,23834,1
801,MISS,23735,0
802,CONFLICTING_QUOTES,24226,2
803,UNICODE,24496,1
804,HIT,30367,1
805,MISS,24136,0
806,CONFLICTING_QUOTES,24275,2
807,UNICODE,24556,1
808,HIT,23844,1
809,MISS,23785,0
810,CONFLICTING_QUOTES,24266,2
811,UNICODE,24526,1
812,HIT,23835,1
813,MISS,23805,0
814,CONFLICTING_QUOTES,24276,2
815,UNICODE,24556,1
816,HIT,23825,1
817,MISS,23805,0
818,CONFLICTING_QUOTES,24286,2
819,UNICODE,24537,1
820,HIT,23845,1
821,MISS,23784,0
822,CONFLICTING_QUOTES,24276,2
823,UNICODE,24526,1
824,HIT,23845,1
825,MISS,23805,0
826,CONFLICTING_QUOTES,24265,2
827,UNICODE,24556,1
828,HIT,23825,1
829,MISS,23775,0
830,CONFLICTING_QUOTES,24265,2
831,UNICODE,24526,1
832,HIT,23834,1
833,MISS,23775,0
834,CONFLICTING_QUOTES,24256,2
835,UNICODE,24516,1
836,HIT,23825,1
837,MISS,23734,0
838,CONFLICTING_QUOTES,24195,2
839,UNICODE,24496,1
840,HIT,23795,1
841,MISS,23745,0
842,CONFLICTING_QUOTES,24216,2
843,UNICODE,24486,1
844,HIT,25388,1
845,MISS,25308,0
846,CONFLICTING_QUOTES,24186,2
847,UNICODE,24497,1
848,HIT,23805,1
849,MISS,23904,0
850,CONFLICTING_QUOTES,24196,2
851,UNICODE,24476,1
852,HIT,23805,1
853,MISS,24426,0
854,CONFLICTING_QUOTES,24215,2
855,UNICODE,24476,1
856,HIT,24345,1
857,MISS,23735,0
858,CONFLICTING_QUOTES,24186,2
859,UNICODE,24466,1
860,HIT,23805,1
861,MISS,23735,0
862,CONFLICTING_QUOTES,24226,2
863,UNICODE,24506,1
864,HIT,23775,1
865,MISS,23774,0
866,CONFLICTING_QUOTES,24226,2
867,UNICODE,24496,1
868,HIT,23795,1
869,MISS,23745,0
870,CONFLICTING_QUOTES,24216,2
871,UNICODE,24506,1
872,HIT,24316,1
873,MISS,23774,0
874,CONFLICTING_QUOTES,24246,2
875,UNICODE,24496,1
876,HIT,24326,1
877,MISS,23765,0
878,CONFLICTING_QUOTES,24245,2
879,UNICODE,24486,1
880,HIT,23805,1
881,MISS,23754,0
882,CONFLICTING_QUOTES,24206,2
883,UNICODE,24496,1
884,HIT,23805,1
885,MISS,36549,0
886,CONFLICTING_QUOTES,28774,2
887,UNICODE,24546,1
888,HIT,23815,1
889,MISS,23764,0
890,CONFLICTING_QUOTES,24235,2
891,UNICODE,24516,1
892,HIT,23815,1
893,MISS,23735,0
894,CONFLICTING_QUOTES,24236,2
895,UNICODE,24526,1
896,HIT,25268,1
897,MISS,25258,0
898,CONFLICTING_QUOTES,25578,2
899,UNICODE,24466,1
900,HIT,23805,1
901,MISS,23755,0
902,CONFLICTING_QUOTES,24215,2
903,UNICODE,24496,1
904,HIT,24316,1
905,MISS,24245,0
906,CONFLICTING_QUOTES,24205,2
907,UNICODE,24476,1
908,HIT,23784,1
909,MISS,23735,0
910,CONFLICTING_QUOTES,24216,2
911,UNICODE,24516,1
912,HIT,23815,1
913,MISS,23754,0
914,CONFLICTING_QUOTES,24225,2
915,UNICODE,24456,1
916,HIT,23784,1
917,MISS,23715,0
918,CONFLICTING_QUOTES,24205,2
919,UNICODE,24476,1
920,HIT,23785,1
921,MISS,23724,0
922,CONFLICTING_QUOTES,24206,2
923,UNICODE,24486,1
924,HIT,23765,1
925,MISS,34956,0
926,CONFLICTING_QUOTES,30647,2
927,UNICODE,24546,1
928,HIT,23795,1
929,MISS,23755,0
930,CONFLICTING_QUOTES,24226,2
931,UNICODE,24636,1
932,HIT,23784,1
933,MISS,23775,0
934,CONFLICTING_QUOTES,24376,2
935,UNICODE,24476,1
936,HIT,23775,1
937,MISS,23734,0
938,CONFLICTING_QUOTES,24246,2
939,UNICODE,24556,1
940,HIT,24286,1
941,MISS,23885,0
942,CONFLICTING_QUOTES,25798,2
943,UNICODE,24506,1
944,HIT,24315,1
945,MISS,23745,0
946,CONFLICTING_QUOTES,24226,2
947,UNICODE,24507,1
948,HIT,23775,1
949,MISS,23754,0
950,CONFLICTING_QUOTES,24215,2
951,UNICODE,24506,1
952,HIT,23784,1
953,MISS,23735,0
954,CONFLICTING_QUOTES,24386,2
955,UNICODE,24476,1
956,HIT,23795,1
957,MISS,23724,0
958,CONFLICTING_QUOTES,24215,2
959,UNICODE,24486,1
960,HIT,23805,1
961,MISS,23755,0
962,CONFLICTING_QUOTES,24186,2
963,UNICODE,24506,1
964,HIT,23785,1
965,MISS,33042,0
966,CONFLICTING_QUOTES,33513,2
967,UNICODE,24546,1
968,HIT,23774,1
969,MISS,23755,0
970,CONFLICTING_QUOTES,24236,2
971,UNICODE,24466,1
972,HIT,23775,1
973,MISS,23725,0
974,CONFLICTING_QUOTES,24195,2
975,UNICODE,24506,1
976,HIT,23775,1
977,MISS,23734,0
978,CONFLICTING_QUOTES,24216,2
979,UNICODE,24506,1
980,HIT,23804,1
981,MISS,23745,0
982,CONFLICTING_QUOTES,24196,2
983,UNICODE,24466,1
984,HIT,23785,1
985,MISS,23725,0
986,CONFLICTING_QUOTES,24215,2
987,UNICODE,24466,1
988,HIT,23795,1
989,MISS,23744,0
990,CONFLICTING_QUOTES,24186,2
991,UNICODE,24486,1
992,HIT,23795,1
993,MISS,23735,0
994,CONFLICTING_QUOTES,24186,2
995,UNICODE,24466,1
996,HIT,23775,1
997,MISS,23735,0
998,CONFLICTING_QUOTES,24185,2
999,UNICODE,24476,1
