rep,n,threads,batch,wall_ns,ns_per_node,checks
0,16384,3,16,227036,0.866073608,48
0,131072,3,2,560573,2.138416290,6
0,294378,3,1,727527,2.471404113,3
0,500000,3,1,1298581,2.597162000,3
1,16384,3,16,222277,0.847919464,48
1,131072,3,2,583847,2.227199554,6
1,294378,3,1,1166572,3.962836897,3
1,500000,3,1,1195788,2.391576000,3
2,16384,3,16,239080,0.912017822,48
2,131072,3,2,553370,2.110939026,6
2,294378,3,1,697771,2.370323190,3
2,500000,3,1,1366899,2.733798000,3
3,16384,3,16,296518,1.131126404,48
3,131072,3,2,558890,2.131996155,6
3,294378,3,1,661463,2.246985169,3
3,500000,3,1,1240602,2.481204000,3
4,16384,3,16,246643,0.940868378,48
4,131072,3,2,528403,2.015697479,6
4,294378,3,1,862250,2.929057199,3
4,500000,3,1,1238577,2.477154000,3
5,16384,3,16,238629,0.910297394,48
5,131072,3,2,569640,2.173004150,6
5,294378,3,1,681721,2.315801453,3
5,500000,3,1,1381476,2.762952000,3
6,16384,3,16,231586,0.883430481,48
6,131072,3,2,627199,2.392574310,6
6,294378,3,1,708131,2.405516037,3
6,500000,3,1,1227116,2.454232000,3
7,16384,3,16,227117,0.866382599,48
7,131072,3,2,528232,2.015045166,6
7,294378,3,1,690328,2.345039371,3
7,500000,3,1,1324248,2.648496000,3
8,16384,3,16,224192,0.855224609,48
8,131072,3,2,526330,2.007789612,6
8,294378,3,1,704564,2.393398963,3
8,500000,3,1,1287891,2.575782000,3
9,16384,3,16,235843,0.899669647,48
9,131072,3,2,637147,2.430522919,6
9,294378,3,1,1000800,3.399710576,3
9,500000,3,1,1321493,2.642986000,3
10,16384,3,16,225273,0.859348297,48
10,131072,3,2,591342,2.255790710,6
10,294378,3,1,793962,2.697083342,3
10,500000,3,1,1346330,2.692660000,3
11,16384,3,16,257725,0.983142853,48
11,131072,3,2,640534,2.443443298,6
11,294378,3,1,712309,2.419708674,3
11,500000,3,1,1232025,2.464050000,3
12,16384,3,16,140524,0.536056519,48
12,131072,3,2,443734,1.692710876,6
12,294378,3,1,554943,1.885137476,3
12,500000,3,1,1519606,3.039212000,3
13,16384,3,16,379172,1.446426392,48
13,131072,3,2,680469,2.595783234,6
13,294378,3,1,840490,2.855138631,3
13,500000,3,1,1289424,2.578848000,3
14,16384,3,16,213651,0.815013885,48
14,131072,3,2,504197,1.923358917,6
14,294378,3,1,1078237,3.662763522,3
14,500000,3,1,1749087,3.498174000,3
15,16384,3,16,356009,1.358066559,48
15,131072,3,2,720324,2.747817993,6
15,294378,3,1,964393,3.276036253,3
15,500000,3,1,1476715,2.953430000,3
16,16384,3,16,261081,0.995944977,48
16,131072,3,2,584028,2.227890015,6
16,294378,3,1,789844,2.683094525,3
16,500000,3,1,1326322,2.652644000,3
17,16384,3,16,151114,0.576454163,48
17,131072,3,2,402226,1.534370422,6
17,294378,3,1,596791,2.027294839,3
17,500000,3,1,1216275,2.432550000,3
18,16384,3,16,160111,0.610774994,48
18,131072,3,2,431371,1.645549774,6
18,294378,3,1,800274,2.718525162,3
18,500000,3,1,1278032,2.556064000,3
19,16384,3,16,256051,0.976757050,48
19,131072,3,2,490081,1.869510651,6
19,294378,3,1,690919,2.347046994,3
19,500000,3,1,1327185,2.654370000,3
20,16384,3,16,247435,0.943889618,48
20,131072,3,2,470955,1.796550751,6
20,294378,3,1,803199,2.728461366,3
20,500000,3,1,1179146,2.358292000,3
21,16384,3,16,147938,0.564338684,48
21,131072,3,2,455917,1.739185333,6
21,294378,3,1,616078,2.092812642,3
21,500000,3,1,1354575,2.709150000,3
22,16384,3,16,151925,0.579547882,48
22,131072,3,2,373452,1.424606323,6
22,294378,3,1,616849,2.095431724,3
