rep,n,threads,batch,wall_ns,ns_per_node,checks
0,16384,3,16,236815,0.903377533,48
0,131072,3,2,573488,2.187683105,6
0,294378,3,1,776088,2.636365489,3
0,500000,3,1,1572545,3.145090000,3
1,16384,3,16,272202,1.038368225,48
1,131072,3,2,583065,2.224216461,6
1,294378,3,1,1060163,3.601366271,3
1,500000,3,1,1640272,3.280544000,3
2,16384,3,16,393950,1.502799988,48
2,131072,3,2,737045,2.811603546,6
2,294378,3,1,820161,2.786081161,3
2,500000,3,1,1223589,2.447178000,3
3,16384,3,16,164079,0.625911713,48
3,131072,3,2,675820,2.578048706,6
3,294378,3,1,919488,3.123494283,3
3,500000,3,1,1711967,3.423934000,3
4,16384,3,16,283974,1.083274841,48
4,131072,3,2,647457,2.469852448,6
4,294378,3,1,697511,2.369439972,3
4,500000,3,1,1426110,2.852220000,3
5,16384,3,16,887307,3.384807587,48
5,131072,3,2,649370,2.477149963,6
5,294378,3,1,802318,2.725468615,3
5,500000,3,1,1349916,2.699832000,3
6,16384,3,16,249008,0.949890137,48
6,131072,3,2,612010,2.334632874,6
6,294378,3,1,815863,2.771480885,3
6,500000,3,1,1412244,2.824488000,3
7,16384,3,16,356790,1.361045837,48
7,131072,3,2,528693,2.016803741,6
7,294378,3,1,713380,2.423346853,3
7,500000,3,1,1921631,3.843262000,3
8,16384,3,16,491022,1.873100281,48
8,131072,3,2,1018814,3.886466980,6
8,294378,3,1,1189014,4.039072213,3
8,500000,3,1,1536448,3.072896000,3
9,16384,3,16,257534,0.982414246,48
9,131072,3,2,683254,2.606407166,6
9,294378,3,1,983228,3.340018616,3
9,500000,3,1,1577855,3.155710000,3
10,16384,3,16,358373,1.367084503,48
10,131072,3,2,1993707,7.605388641,6
10,294378,3,1,1408297,4.783975025,3
10,500000,3,1,1435057,2.870114000,3
11,16384,3,16,247955,0.945873260,48
11,131072,3,2,507624,1.936431885,6
11,294378,3,1,933324,3.170495078,3
11,500000,3,1,1401775,2.803550000,3
12,16384,3,16,292780,1.116867065,48
12,131072,3,2,408417,1.557987213,6
12,294378,3,1,995010,3.380041987,3
12,500000,3,1,1787820,3.575640000,3
13,16384,3,16,274796,1.048263550,48
13,131072,3,2,671402,2.561195374,6
13,294378,3,1,736895,2.503227143,3
13,500000,3,1,1681981,3.363962000,3
14,16384,3,16,386617,1.474826813,48
14,131072,3,2,605889,2.311283112,6
14,294378,3,1,829498,2.817798884,3
14,500000,3,1,1344907,2.689814000,3
15,16384,3,16,171542,0.654380798,48
15,131072,3,2,708702,2.703483582,6
15,294378,3,1,1244949,4.229083016,3
15,500000,3,1,1425318,2.850636000,3
16,16384,3,16,415601,1.585391998,48
16,131072,3,2,613463,2.340175629,6
16,294378,3,1,777541,2.641301320,3
16,500000,3,1,1548570,3.097140000,3
17,16384,3,16,255871,0.976070404,48
17,131072,3,2,495341,1.889575958,6
17,294378,3,1,1132929,3.848551862,3
17,500000,3,1,1604886,3.209772000,3
18,16384,3,16,292149,1.114459991,48
18,131072,3,2,840800,3.207397461,6
18,294378,3,1,1052668,3.575905808,3
18,500000,3,1,2067876,4.135752000,3
19,16384,3,16,230934,0.880943298,48
19,131072,3,2,617140,2.354202271,6
19,294378,3,1,839507,2.851799387,3
19,500000,3,1,1418696,2.837392000,3
20,16384,3,16,485051,1.850322723,48
20,131072,3,2,636326,2.427391052,6
20,294378,3,1,823658,2.797960445,3
20,500000,3,1,1489960,2.979920000,3
21,16384,3,16,403648,1.539794922,48
21,131072,3,2,1815602,6.925971985,6
21,294378,3,1,906243,3.078501111,3
21,500000,3,1,1536678,3.073356000,3
22,16384,3,16,347202,1.324470520,48
22,131072,3,2,596110,2.273979187,6
22,294378,3,1,994028,3.376706140,3
22,500000,3,1,1332614,2.665228000,3
23,16384,3,16,268855,1.025600433,48
23,131072,3,2,565603,2.157604218,6
23,294378,3,1,1571683,5.338996121,3
