rep,n,threads,batch,wall_ns,ns_per_node,checks
34,16384,3,16,171662,0.654838562,48
34,131072,3,2,671912,2.563140869,6
34,294378,3,1,659189,2.239260407,3
34,500000,3,1,1362080,2.724160000,3
35,16384,3,16,421232,1.606872559,48
35,131072,3,2,357592,1.364105225,6
35,294378,3,1,620746,2.108669805,3
35,500000,3,1,974171,1.948342000,3
36,16384,3,16,328317,1.252429962,48
36,131072,3,2,558890,2.131996155,6
36,294378,3,1,1024987,3.481873645,3
36,500000,3,1,1568929,3.137858000,3
37,16384,3,16,360207,1.374080658,48
37,131072,3,2,391486,1.493400574,6
37,294378,3,1,525097,1.783750824,3
37,500000,3,1,2131887,4.263774000,3
38,16384,3,16,341021,1.300891876,48
38,131072,3,2,526479,2.008358002,6
38,294378,3,1,962318,3.268987492,3
38,500000,3,1,1161252,2.322504000,3
39,16384,3,16,170421,0.650104523,48
39,131072,3,2,390094,1.488090515,6
39,294378,3,1,619765,2.105337355,3
39,500000,3,1,1590039,3.180078000,3
40,16384,3,16,365617,1.394718170,48
40,131072,3,2,515670,1.967124939,6
40,294378,3,1,709413,2.409870982,3
40,500000,3,1,954754,1.909508000,3
41,16384,3,16,164630,0.628013611,48
41,131072,3,2,329850,1.258277893,6
41,294378,3,1,923185,3.136052966,3
41,500000,3,1,1339767,2.679534000,3
42,16384,3,16,309712,1.181457520,48
42,131072,3,2,545084,2.079330444,6
42,294378,3,1,724632,2.461569818,3
42,500000,3,1,992535,1.985070000,3
43,16384,3,16,416122,1.587379456,48
43,131072,3,2,815002,3.108985901,6
43,294378,3,1,899430,3.055357398,3
43,500000,3,1,1253736,2.507472000,3
44,16384,3,16,282040,1.075897217,48
44,131072,3,2,580962,2.216194153,6
44,294378,3,1,576594,1.958685771,3
44,500000,3,1,1600127,3.200254000,3
45,16384,3,16,297449,1.134677887,48
45,131072,3,2,816234,3.113685608,6
45,294378,3,1,727167,2.470181196,3
45,500000,3,1,1022671,2.045342000,3
46,16384,3,16,174418,0.665351868,48
46,131072,3,2,383381,1.462482452,6
46,294378,3,1,839117,2.850474560,3
46,500000,3,1,1341441,2.682882000,3
47,16384,3,16,495522,1.890266418,48
47,131072,3,2,534755,2.039928436,6
47,294378,3,1,694956,2.360760655,3
47,500000,3,1,1019366,2.038732000,3
48,16384,3,16,158608,0.605041504,48
48,131072,3,2,737576,2.813629150,6
48,294378,3,1,1112661,3.779701608,3
48,500000,3,1,1258405,2.516810000,3
49,16384,3,16,279105,1.064701080,48
49,131072,3,2,525979,2.006450653,6
49,294378,3,1,718239,2.439852842,3
49,500000,3,1,1033002,2.066004000,3
50,16384,3,16,383561,1.463169098,48
50,131072,3,2,818759,3.123317719,6
50,294378,3,1,913116,3.101848644,3
50,500000,3,1,1205476,2.410952000,3
51,16384,3,16,177504,0.677124023,48
51,131072,3,2,329118,1.255485535,6
51,294378,3,1,506592,1.720889469,3
51,500000,3,1,1387037,2.774074000,3
52,16384,3,16,408357,1.557758331,48
52,131072,3,2,687281,2.621768951,6
52,294378,3,1,708241,2.405889706,3
52,500000,3,1,1222527,2.445054000,3
53,16384,3,16,181972,0.694168091,48
53,131072,3,2,415130,1.583595276,6
53,294378,3,1,677563,2.301676756,3
53,500000,3,1,1339297,2.678594000,3
54,16384,3,16,438414,1.672416687,48
54,131072,3,2,430680,1.642913818,6
54,294378,3,1,811525,2.756744730,3
54,500000,3,1,1078316,2.156632000,3
55,16384,3,16,166884,0.636611938,48
55,131072,3,2,436089,1.663547516,6
55,294378,3,1,909539,3.089697600,3
55,500000,3,1,1621057,3.242114000,3
56,16384,3,16,273995,1.045207977,48
56,131072,3,2,507113,1.934482574,6
56,294378,3,1,602793,2.047683590,3
56,500000,3,1,931381,1.862762000,3
57,16384,3,16,167685,0.639667511,48
57,131072,3,2,657936,2.509826660,6
57,294378,3,1,829729,2.818583590,3
57,500000,3,1,1625806,3.251612000,3
58,16384,3,16,269466,1.027931213,48
58,131072,3,2,371077,1.415546417,6
58,294378,3,1,508225,1.726436758,3
58,500000,3,1,972437,1.944874000,3
59,16384,3,16,386316,1.473678589,48
59,131072,3,2,780206,2.976249695,6
59,294378,3,1,965043,3.278244298,3
59,500000,3,1,1222307,2.444614000,3
60,16384,3,16,181562,0.692604065,48
60,131072,3,2,479451,1.828960419,6
60,294378,3,1,493407,1.676100116,3
60,500000,3,1,989660,1.979320000,3
61,16384,3,16,383601,1.463321686,48
61,131072,3,2,784224,2.991577148,6
61,294378,3,1,997725,3.389264823,3
61,500000,3,1,1210625,2.421250000,3
62,16384,3,16,168717,0.643604279,48
62,131072,3,2,361850,1.380348206,6
62,294378,3,1,515238,1.750259870,3
62,500000,3,1,1624382,3.248764000,3
63,16384,3,16,426792,1.628082275,48
63,131072,3,2,698372,2.664077759,6
63,294378,3,1,1092754,3.712077669,3
63,500000,3,1,1056646,2.113292000,3
64,16384,3,16,160532,0.612380981,48
64,131072,3,2,408748,1.559249878,6
64,294378,3,1,782571,2.658388195,3
64,500000,3,1,1648138,3.296276000,3
65,16384,3,16,406013,1.548816681,48
65,131072,3,2,623261,2.377552032,6
65,294378,3,1,692051,2.350892390,3
65,500000,3,1,1119614,2.239228000,3
66,16384,3,16,155582,0.593498230,48
66,131072,3,2,538943,2.055904388,6
66,294378,3,1,694184,2.358138176,3
66,500000,3,1,1530096,3.060192000,3
67,16384,3,16,270188,1.030685425,48
67,131072,3,2,498868,1.903030396,6
67,294378,3,1,746793,2.536850580,3
67,500000,3,1,1334979,2.669958000,3
68,16384,3,16,287972,1.098526001,48
68,131072,3,2,563028,2.147781372,6
68,294378,3,1,775497,2.634357866,3
68,500000,3,1,1333806,2.667612000,3
69,16384,3,16,197201,0.752262115,48
69,131072,3,2,496353,1.893436432,6
69,294378,3,1,1038572,3.528021795,3
69,500000,3,1,1318418,2.636836000,3
70,16384,3,16,251854,0.960746765,48
70,131072,3,2,484841,1.849521637,6
70,294378,3,1,720684,2.448158490,3
70,500000,3,1,1634211,3.268422000,3
71,16384,3,16,308460,1.176681519,48
71,131072,3,2,840299,3.205486298,6
71,294378,3,1,715766,2.431452079,3
71,500000,3,1,1352051,2.704102000,3
72,16384,3,16,174268,0.664779663,48
72,131072,3,2,445838,1.700737000,6
72,294378,3,1,971816,3.301252132,3
72,500000,3,1,1436139,2.872278000,3
73,16384,3,16,304121,1.160129547,48
73,131072,3,2,507934,1.937614441,6
73,294378,3,1,564141,1.916383018,3
73,500000,3,1,1062507,2.125014000,3
74,16384,3,16,405943,1.548549652,48
74,131072,3,2,718841,2.742160797,6
74,294378,3,1,779205,2.646953916,3
74,500000,3,1,1273283,2.546566000,3
75,16384,3,16,230713,0.880100250,48
75,131072,3,2,542339,2.068859100,6
75,294378,3,1,664660,2.257845355,3
75,500000,3,1,1615796,3.231592000,3
76,16384,3,16,420921,1.605686188,48
76,131072,3,2,749909,2.860675812,6
76,294378,3,1,734290,2.494377977,3
76,500000,3,1,1870635,3.741270000,3
77,16384,3,16,374825,1.429843903,48
77,131072,3,2,557427,2.126415253,6
77,294378,3,1,535517,1.819147491,3
77,500000,3,1,977026,1.954052000,3
78,16384,3,16,174849,0.666996002,48
78,131072,3,2,327285,1.248493195,6
78,294378,3,1,528633,1.795762591,3
78,500000,3,1,1092092,2.184184000,3
79,16384,3,16,285005,1.087207794,48
79,131072,3,2,418717,1.597278595,6
79,294378,3,1,592914,2.014124697,3
79,500000,3,1,942591,1.885182000,3
80,16384,3,16,176662,0.673912048,48
80,131072,3,2,448463,1.710750580,6
80,294378,3,1,557497,1.893813396,3
80,500000,3,1,993837,1.987674000,3
81,16384,3,16,168627,0.643260956,48
81,131072,3,2,357231,1.362728119,6
81,294378,3,1,659289,2.239600106,3
81,500000,3,1,1868622,3.737244000,3
82,16384,3,16,635794,2.425361633,48
82,131072,3,2,950737,3.626773834,6
82,294378,3,1,778894,2.645897452,3
82,500000,3,1,1285786,2.571572000,3
83,16384,3,16,357342,1.363151550,48
83,131072,3,2,603835,2.303447723,6
83,294378,3,1,1059771,3.600034649,3
83,500000,3,1,1358553,2.717106000,3
84,16384,3,16,405071,1.545223236,48
84,131072,3,2,551787,2.104900360,6
84,294378,3,1,629362,2.137938297,3
84,500000,3,1,1008005,2.016010000,3
85,16384,3,16,175520,0.669555664,48
85,131072,3,2,410622,1.566398621,6
85,294378,3,1,619203,2.103428245,3
85,500000,3,1,1060042,2.120084000,3
86,16384,3,16,270939,1.033550262,48
86,131072,3,2,545134,2.079521179,6
86,294378,3,1,784564,2.665158402,3
86,500000,3,1,1065733,2.131466000,3
87,16384,3,16,159330,0.607795715,48
87,131072,3,2,399361,1.523441315,6
87,294378,3,1,682131,2.317194220,3
87,500000,3,1,1260108,2.520216000,3
88,16384,3,16,321114,1.224952698,48
88,131072,3,2,814501,3.107074738,6
88,294378,3,1,1102562,3.745395376,3
88,500000,3,1,1568037,3.136074000,3
89,16384,3,16,405983,1.548702240,48
89,131072,3,2,584459,2.229534149,6
89,294378,3,1,846280,2.874807221,3
89,500000,3,1,1317927,2.635854000,3
90,16384,3,16,182914,0.697761536,48
90,131072,3,2,364585,1.390781403,6
90,294378,3,1,800856,2.720502211,3
90,500000,3,1,1105407,2.210814000,3
91,16384,3,16,294304,1.122680664,48
91,131072,3,2,545976,2.082733154,6
91,294378,3,1,585410,1.988633661,3
91,500000,3,1,1018945,2.037890000,3
92,16384,3,16,194686,0.742668152,48
92,131072,3,2,423506,1.615547180,6
92,294378,3,1,728198,2.473683495,3
92,500000,3,1,1300434,2.600868000,3
93,16384,3,16,294223,1.122371674,48
93,131072,3,2,578037,2.205036163,6
93,294378,3,1,786939,2.673226260,3
93,500000,3,1,1261801,2.523602000,3
94,16384,3,16,189316,0.722183228,48
94,131072,3,2,420370,1.603584290,6
94,294378,3,1,529365,1.798249190,3
94,500000,3,1,1274516,2.549032000,3
95,16384,3,16,204965,0.781879425,48
95,131072,3,2,408658,1.558906555,6
95,294378,3,1,576012,1.956708721,3
95,500000,3,1,983198,1.966396000,3
96,16384,3,16,198663,0.757839203,48
96,131072,3,2,548230,2.091331482,6
96,294378,3,1,759046,2.578473935,3
96,500000,3,1,1268123,2.536246000,3
97,16384,3,16,272883,1.040966034,48
97,131072,3,2,1774234,6.768165588,6
97,294378,3,1,864003,2.935012127,3
97,500000,3,1,1341271,2.682542000,3
98,16384,3,16,191430,0.730247498,48
98,131072,3,2,388000,1.480102539,6
98,294378,3,1,531188,1.804441908,3
98,500000,3,1,1237486,2.474972000,3
99,16384,3,16,235452,0.898178101,48
99,131072,3,2,434727,1.658351898,6
99,294378,3,1,870906,2.958461570,3
99,500000,3,1,1024546,2.049092000,3
100,16384,3,16,170681,0.651096344,48
100,131072,3,2,414720,1.582031250,6
100,294378,3,1,601159,2.042132904,3
100,500000,3,1,1237045,2.474090000,3
101,16384,3,16,286689,1.093631744,48
101,131072,3,2,615897,2.349460602,6
101,294378,3,1,839558,2.851972634,3
101,500000,3,1,1651484,3.302968000,3
102,16384,3,16,276980,1.056594849,48
102,131072,3,2,599016,2.285064697,6
102,294378,3,1,968450,3.289817853,3
102,500000,3,1,1058719,2.117438000,3
103,16384,3,16,262272,1.000488281,48
103,131072,3,2,514226,1.961616516,6
103,294378,3,1,682072,2.316993797,3
103,500000,3,1,1480833,2.961666000,3
104,16384,3,16,192171,0.733074188,48
104,131072,3,2,362121,1.381381989,6
104,294378,3,1,556165,1.889288602,3
104,500000,3,1,952289,1.904578000,3
105,16384,3,16,162836,0.621170044,48
105,131072,3,2,338356,1.290725708,6
105,294378,3,1,513495,1.744338911,3
105,500000,3,1,1687371,3.374742000,3
106,16384,3,16,282541,1.077808380,48
106,131072,3,2,818167,3.121059418,6
106,294378,3,1,912345,3.099229562,3
106,500000,3,1,1288392,2.576784000,3
107,16384,3,16,153579,0.585857391,48
107,131072,3,2,394993,1.506778717,6
107,294378,3,1,592153,2.011539585,3
107,500000,3,1,1026229,2.052458000,3
108,16384,3,16,298441,1.138462067,48
108,131072,3,2,365217,1.393192291,6
108,294378,3,1,652526,2.216626242,3
108,500000,3,1,1259346,2.518692000,3
109,16384,3,16,282771,1.078685760,48
109,131072,3,2,584098,2.228157043,6
109,294378,3,1,781819,2.655833656,3
109,500000,3,1,1249589,2.499178000,3
110,16384,3,16,276590,1.055107117,48
110,131072,3,2,631898,2.410499573,6
110,294378,3,1,677804,2.302495431,3
110,500000,3,1,1022622,2.045244000,3
111,16384,3,16,156765,0.598011017,48
111,131072,3,2,365406,1.393913269,6
111,294378,3,1,536569,1.822721127,3
111,500000,3,1,956628,1.913256000,3
112,16384,3,16,164179,0.626293182,48
112,131072,3,2,317918,1.212760925,6
112,294378,3,1,508376,1.726949704,3
112,500000,3,1,1028693,2.057386000,3
113,16384,3,16,192712,0.735137939,48
113,131072,3,2,346602,1.322181702,6
113,294378,3,1,608303,2.066401022,3
113,500000,3,1,970564,1.941128000,3
114,16384,3,16,160271,0.611385345,48
114,131072,3,2,356571,1.360210419,6
114,294378,3,1,514647,1.748252247,3
114,500000,3,1,988097,1.976194000,3
115,16384,3,16,154891,0.590862274,48
115,131072,3,2,360577,1.375492096,6
115,294378,3,1,559852,1.901813315,3
115,500000,3,1,1014456,2.028912000,3
116,16384,3,16,166983,0.636989594,48
116,131072,3,2,399982,1.525810242,6
116,294378,3,1,592283,2.011981194,3
116,500000,3,1,933194,1.866388000,3
117,16384,3,16,177383,0.676662445,48
117,131072,3,2,360949,1.376911163,6
117,294378,3,1,525077,1.783682884,3
117,500000,3,1,1230623,2.461246000,3
118,16384,3,16,184276,0.702957153,48
118,131072,3,2,391496,1.493438721,6
118,294378,3,1,585130,1.987682503,3
118,500000,3,1,1131377,2.262754000,3
119,16384,3,16,386937,1.476047516,48
119,131072,3,2,495592,1.890533447,6
119,294378,3,1,858604,2.916671762,3
119,500000,3,1,1557647,3.115294000,3
120,16384,3,16,380795,1.452617645,48
120,131072,3,2,751542,2.866905212,6
120,294378,3,1,822816,2.795100177,3
120,500000,3,1,1080010,2.160020000,3
121,16384,3,16,263425,1.004886627,48
121,131072,3,2,600528,2.290832520,6
121,294378,3,1,705996,2.398263457,3
121,500000,3,1,1554963,3.109926000,3
122,16384,3,16,279796,1.067337036,48
122,131072,3,2,452240,1.725158691,6
122,294378,3,1,742656,2.522797220,3
122,500000,3,1,1590549,3.181098000,3
123,16384,3,16,392728,1.498138428,48
123,131072,3,2,579289,2.209812164,6
123,294378,3,1,658878,2.238203942,3
123,500000,3,1,1159129,2.318258000,3
124,16384,3,16,262603,1.001750946,48
124,131072,3,2,512032,1.953247070,6
124,294378,3,1,550976,1.871661605,3
124,500000,3,1,1338426,2.676852000,3
125,16384,3,16,272813,1.040699005,48
125,131072,3,2,528423,2.015773773,6
125,294378,3,1,800855,2.720498814,3
125,500000,3,1,1163917,2.327834000,3
126,16384,3,16,202521,0.772556305,48
126,131072,3,2,388270,1.481132507,6
126,294378,3,1,539333,1.832110416,3
126,500000,3,1,1307336,2.614672000,3
127,16384,3,16,402266,1.534523010,48
127,131072,3,2,508275,1.938915253,6
127,294378,3,1,760579,2.583681525,3
127,500000,3,1,1237456,2.474912000,3
128,16384,3,16,261181,0.996326447,48
128,131072,3,2,421232,1.606872559,6
128,294378,3,1,571234,1.940477889,3
128,500000,3,1,1391635,2.783270000,3
129,16384,3,16,318208,1.213867188,48
129,131072,3,2,610888,2.330352783,6
129,294378,3,1,738559,2.508879740,3
129,500000,3,1,1244018,2.488036000,3
130,16384,3,16,258045,0.984363556,48
130,131072,3,2,903267,3.445690155,6
130,294378,3,1,748777,2.543590214,3
130,500000,3,1,1319830,2.639660000,3
131,16384,3,16,286007,1.091030121,48
131,131072,3,2,512163,1.953746796,6
131,294378,3,1,730143,2.480290647,3
131,500000,3,1,1349276,2.698552000,3
132,16384,3,16,294954,1.125160217,48
132,131072,3,2,657796,2.509292603,6
132,294378,3,1,684226,2.324310920,3
132,500000,3,1,1210996,2.421992000,3
133,16384,3,16,154160,0.588073730,48
133,131072,3,2,348905,1.330966949,6
133,294378,3,1,560514,1.904062124,3
133,500000,3,1,1160952,2.321904000,3
134,16384,3,16,424918,1.620933533,48
134,131072,3,2,638420,2.435379028,6
134,294378,3,1,652185,2.215467868,3
134,500000,3,1,1025728,2.051456000,3
135,16384,3,16,169017,0.644748688,48
135,131072,3,2,344106,1.312660217,6
135,294378,3,1,738858,2.509895441,3
135,500000,3,1,1280807,2.561614000,3
136,16384,3,16,295315,1.126537323,48
136,131072,3,2,577556,2.203201294,6
136,294378,3,1,758065,2.575141485,3
136,500000,3,1,1688694,3.377388000,3
