rep,documents,operation,sample,latency_ns,correct
0,8,miss,49,130805,1
0,8,unicode,49,133140,1
0,8,serialize,0,35887,1
0,8,deserialize,0,74029,1
0,8,insert,0,39935,1
0,8,update,0,35256,1
0,8,delete,0,34905,1
0,8,save,0,10550975,1
0,8,load,0,106510,1
0,8,serialize,1,3327,1
0,8,deserialize,1,70352,1
0,8,insert,1,40085,1
0,8,update,1,35828,1
0,8,delete,1,36168,1
0,8,save,1,10282690,1
0,8,load,1,90610,1
0,8,serialize,2,4238,1
0,8,deserialize,2,70111,1
0,8,insert,2,39114,1
0,8,update,2,34645,1
0,8,delete,2,36318,1
0,8,save,2,10237696,1
0,8,load,2,90040,1
0,8,serialize,3,4749,1
0,8,deserialize,3,70072,1
0,8,insert,3,43462,1
0,8,update,3,35146,1
0,8,delete,3,99186,1
0,8,save,3,10392717,1
0,8,load,3,101090,1
0,8,serialize,4,4449,1
0,8,deserialize,4,70352,1
0,8,insert,4,40286,1
0,8,update,4,36268,1
0,8,delete,4,36258,1
0,8,save,4,10138729,1
0,8,load,4,178987,1
0,64,exact,0,1104416,1
0,64,near,0,1076113,1
0,64,miss,0,1054222,1
0,64,unicode,0,1079018,1
0,64,exact,1,1114866,1
0,64,near,1,1063900,1
0,64,miss,1,1050405,1
0,64,unicode,1,1074951,1
0,64,exact,2,1076323,1
0,64,near,2,1202240,1
0,64,miss,2,1079599,1
0,64,unicode,2,1071123,1
0,64,exact,3,1062387,1
0,64,near,3,1085260,1
0,64,miss,3,1107752,1
0,64,unicode,3,1069701,1
0,64,exact,4,1068569,1
0,64,near,4,1064291,1
0,64,miss,4,1199024,1
0,64,unicode,4,1101851,1
0,64,exact,5,1056166,1
0,64,near,5,1060664,1
0,64,miss,5,1079580,1
0,64,unicode,5,1118092,1
0,64,exact,6,1059692,1
0,64,near,6,1057137,1
0,64,miss,6,1059391,1
0,64,unicode,6,1209163,1
0,64,exact,7,1078388,1
0,64,near,7,1052668,1
0,64,miss,7,1055704,1
0,64,unicode,7,1080081,1
0,64,exact,8,1114986,1
0,64,near,8,1056095,1
0,64,miss,8,1048892,1
0,64,unicode,8,1074009,1
0,64,exact,9,1262614,1
0,64,near,9,1080331,1
0,64,miss,9,1050835,1
0,64,unicode,9,1072496,1
0,64,exact,10,1061967,1
0,64,near,10,1112893,1
0,64,miss,10,1065162,1
0,64,unicode,10,1053130,1
0,64,exact,11,1064251,1
0,64,near,11,1220624,1
0,64,miss,11,1145684,1
0,64,unicode,11,1087565,1
0,64,exact,12,1067737,1
0,64,near,12,1061856,1
0,64,miss,12,1477598,1
0,64,unicode,12,1624163,1
0,64,exact,13,1131768,1
0,64,near,13,1065613,1
0,64,miss,13,1108053,1
0,64,unicode,13,1054121,1
0,64,exact,14,1057979,1
0,64,near,14,1059883,1
0,64,miss,14,1069059,1
0,64,unicode,14,1091752,1
0,64,exact,15,1063339,1
0,64,near,15,1053310,1
0,64,miss,15,1078648,1
0,64,unicode,15,1072967,1
0,64,exact,16,1083927,1
0,64,near,16,1039805,1
0,64,miss,16,1042720,1
0,64,unicode,16,1067106,1
0,64,exact,17,1075923,1
0,64,near,17,1051747,1
0,64,miss,17,1042329,1
0,64,unicode,17,1063920,1
0,64,exact,18,1058570,1
0,64,near,18,1053049,1
0,64,miss,18,1063419,1
